split,type,scene_id,input_psnr,input_ssim,psnr,ssim,delta_psnr,delta_ssim,latency_ms
validation,low,00059,14.274983324926119,0.27828025817871094,21.91532610050302,0.7100065350532532,7.640342775576901,0.43172627687454224,883.6656999999946
validation,low,00065,11.773002067270227,0.45135363936424255,19.075435090079797,0.6600384712219238,7.30243302280957,0.20868483185768127,867.7121370000123
validation,low,00110,9.510742327712386,0.2916398048400879,20.087293061239112,0.6833021640777588,10.576550733526727,0.3916623592376709,846.88550300001
validation,low,00122,11.138780145664384,0.21751263737678528,18.90156956571515,0.507470965385437,7.762789420050765,0.28995832800865173,883.556010999996
validation,low,00127,12.917955182261514,0.31334736943244934,18.627869691169625,0.5684075951576233,5.709914508908112,0.25506022572517395,845.4247700000224
validation,haze,00059,14.415828116982084,0.8187342286109924,20.277991153674094,0.9153863191604614,5.86216303669201,0.096652090549469,853.75381099999
validation,haze,00065,16.106239844260696,0.7731043100357056,19.424512371341446,0.8409401178359985,3.318272527080751,0.06783580780029297,848.0537479999839
validation,haze,00110,16.55536287913816,0.8926758766174316,22.90862154253025,0.9289241433143616,6.35325866339209,0.03624826669692993,851.0207829999672
validation,haze,00122,13.874291508463823,0.7511030435562134,18.59662997231577,0.8068360090255737,4.722338463851948,0.05573296546936035,854.7679590000143
validation,haze,00127,12.25019825532357,0.5964904427528381,16.05634134208881,0.7179170250892639,3.806143086765241,0.12142658233642578,864.4814360000055
validation,rain,00059,31.439517197140642,0.91169673204422,23.339972865969557,0.8950642943382263,-8.099544331171085,-0.016632437705993652,851.6290009999921
validation,rain,00065,23.826359999308323,0.8363314270973206,23.15595174560723,0.8207290172576904,-0.670408253701094,-0.015602409839630127,842.8173910000396
validation,rain,00110,16.41426590996138,0.6615542769432068,20.39133655204871,0.6226685047149658,3.9770706420873303,-0.03888577222824097,844.2203800000243
validation,rain,00122,19.5931394624984,0.7135766744613647,22.03756883164106,0.7340632081031799,2.444429369142661,0.020486533641815186,847.3499399999582
validation,rain,00127,24.07335055141717,0.7307514548301697,21.99580988298508,0.6952418684959412,-2.0775406684320927,-0.035509586334228516,848.7465130000373
validation,snow,00059,33.127096114559585,0.9884623289108276,24.64746706793418,0.9478533267974854,-8.479629046625405,-0.040609002113342285,847.816742999953
validation,snow,00065,24.45285218756885,0.9130646586418152,22.42596951991493,0.8737975358963013,-2.026882667653922,-0.039267122745513916,885.2765829999498
validation,snow,00110,20.503784281110796,0.8096226453781128,21.435567904670947,0.742952823638916,0.9317836235601504,-0.06666982173919678,865.0837889999821
validation,snow,00122,18.65557445286879,0.7678837180137634,18.116383557202454,0.7521613836288452,-0.5391908956663372,-0.015722334384918213,860.2001399999608
validation,snow,00127,26.867891928681313,0.9643093943595886,23.244572563505656,0.8742196559906006,-3.6233193651756572,-0.09008973836898804,861.8649820000428
validation,low_haze,00059,16.26041635161399,0.5411176085472107,17.29987931540348,0.7108312249183655,1.0394629637894894,0.16971361637115479,856.3065350000443
validation,low_haze,00065,14.203398615754327,0.5415125489234924,16.366630078393168,0.645936906337738,2.1632314626388407,0.1044243574142456,891.6707719999977
validation,low_haze,00110,15.58930308414716,0.5698410272598267,21.669287887293144,0.6854397654533386,6.079984803145985,0.11559873819351196,854.4707099999869
validation,low_haze,00122,11.0372215869337,0.30676335096359253,12.646155453950026,0.41816771030426025,1.6089338670163258,0.11140435934066772,843.8665859999901
validation,low_haze,00127,14.405570584694674,0.558728039264679,15.357523229565427,0.6125767827033997,0.9519526448707527,0.0538487434387207,855.2216570000155
validation,low_rain,00059,16.108003821864443,0.410472571849823,19.44728357405192,0.6021384596824646,3.339279752187476,0.1916658878326416,852.8894430000946
validation,low_rain,00065,13.514641597111956,0.5086477994918823,19.41364065767498,0.6601524949073792,5.898999060563023,0.15150469541549683,858.3352759999343
validation,low_rain,00110,12.876486579090631,0.20348456501960754,20.5364139157233,0.41062283515930176,7.65992733663267,0.2071382701396942,856.5311270000393
validation,low_rain,00122,12.052902317279763,0.29233354330062866,18.814446391865697,0.5133705139160156,6.7615440745859345,0.22103697061538696,852.2444479999649
validation,low_rain,00127,15.769001916863033,0.498128205537796,16.61027981197401,0.49135586619377136,0.8412778951109772,-0.006772339344024658,840.3986879999366
validation,low_snow,00059,15.322570356590926,0.24192498624324799,17.763099846140133,0.5984616875648499,2.4405294895492062,0.35653670132160187,845.0659509999241
validation,low_snow,00065,15.307405427480202,0.44828835129737854,16.518581278875693,0.6040334105491638,1.2111758513954918,0.15574505925178528,845.4178770000453
validation,low_snow,00110,11.77030553064905,0.353939414024353,19.524725616924293,0.571774959564209,7.754420086275243,0.21783554553985596,852.2854899999857
validation,low_snow,00122,12.790129328095453,0.21848569810390472,14.997797260838169,0.3097902536392212,2.2076679327427158,0.09130455553531647,856.681395999999
validation,low_snow,00127,13.111748464319792,0.45921576023101807,15.287530012509992,0.5957798361778259,2.1757815481901996,0.13656407594680786,857.7884740000172
validation,haze_rain,00059,16.375845138858537,0.7686006426811218,20.180248252930717,0.8314109444618225,3.80440311407218,0.06281030178070068,866.3580029999594
validation,haze_rain,00065,11.44974795164892,0.6429965496063232,16.93116496322727,0.7577745318412781,5.481417011578351,0.11477798223495483,848.746594999966
validation,haze_rain,00110,18.649038529758663,0.7885671854019165,23.25808400446067,0.733833372592926,4.6090454747020075,-0.05473381280899048,846.7726689999608
validation,haze_rain,00122,10.634523546375124,0.6135637164115906,15.200518975632267,0.7133374214172363,4.565995429257143,0.09977370500564575,851.6091019999976
validation,haze_rain,00127,9.900834888273366,0.5450974106788635,14.459714038618372,0.6108455657958984,4.558879150345007,0.06574815511703491,853.3886569999822
validation,haze_snow,00059,13.736240175019708,0.7912216186523438,19.740004663461587,0.894471287727356,6.003764488441879,0.10324966907501221,868.6735190000263
validation,haze_snow,00065,12.329676678215547,0.6861189007759094,17.442006762895545,0.7767683267593384,5.112330084679998,0.09064942598342896,862.6289160000624
validation,haze_snow,00110,21.21836123883112,0.921520471572876,23.301106432457985,0.9080249071121216,2.0827451936268666,-0.013495564460754395,877.3527020000529
validation,haze_snow,00122,11.795658749134716,0.5798597931861877,16.68654663171147,0.6983119249343872,4.890887882576752,0.11845213174819946,858.8512019999825
validation,haze_snow,00127,11.139944056727778,0.5802179574966431,16.014486328607845,0.7054107785224915,4.874542271880067,0.1251928210258484,855.9558550000474
validation,low_haze_rain,00059,16.17319632128504,0.3419407308101654,16.56585522079522,0.47994235157966614,0.39265889951018096,0.13800162076950073,855.3987100000313
validation,low_haze_rain,00065,13.26968752951319,0.4333617091178894,15.547168644113924,0.5370643734931946,2.277481114600734,0.10370266437530518,855.3254319999724
validation,low_haze_rain,00110,16.549723582524443,0.6172915697097778,21.908480342825435,0.692011296749115,5.358756760300992,0.07471972703933716,908.1731399999171
validation,low_haze_rain,00122,12.14911582024095,0.24633081257343292,13.780469850221928,0.3153609335422516,1.6313540299809777,0.06903012096881866,864.748122999913
validation,low_haze_rain,00127,10.099668553810428,0.40313833951950073,14.458644382817516,0.4822657108306885,4.358975829007088,0.07912737131118774,848.9895159999605
validation,low_haze_snow,00059,13.325847192297145,0.5613639950752258,15.146266325081521,0.6225132942199707,1.8204191327843766,0.06114929914474487,864.6193140000378
validation,low_haze_snow,00065,12.335242053012838,0.4372805058956146,14.517297931155236,0.5428329110145569,2.182055878142398,0.10555240511894226,855.0345380000408
validation,low_haze_snow,00110,13.471806102220945,0.4489792585372925,19.88234239896918,0.6246815919876099,6.4105362967482336,0.17570233345031738,903.444860000036
validation,low_haze_snow,00122,12.852289420187034,0.3352140486240387,15.95487306627803,0.403559148311615,3.102583646090995,0.0683450996875763,855.0300720000905
validation,low_haze_snow,00127,11.339483403449703,0.3812287151813507,14.923198026975669,0.4576531946659088,3.5837146235259656,0.0764244794845581,850.4887249999911
