epoch,train_total,train_restoration,train_degradation,train_content,train_decorrelation,train_gate,val_psnr,val_bce,val_degradation_micro_f1,val_degradation_exact_match,val_gate_mean_abs,backbone_lr,adapter_lr,minutes
1,-16.134410340135748,-16.134410340135748,0.0,0.0,0.0,0.0,16.207607061212713,0.0,0.0,0.0,0.0,0.000180911248587776,0.000180911248587776,1.0181895556666665
2,-18.33820676803589,-18.33820676803589,0.0,0.0,0.0,0.0,17.21197183782404,0.0,0.0,0.0,0.0,0.000130936248587776,0.000130936248587776,1.962565311016666
3,-19.4922433831475,-19.4922433831475,0.0,0.0,0.0,0.0,18.413004233620384,0.0,0.0,0.0,0.0,6.9163751412224e-05,6.9163751412224e-05,2.89685630855
4,-20.182654695077375,-20.182654695077375,0.0,0.0,0.0,0.0,19.005767978321423,0.0,0.0,0.0,0.0,1.9188751412224008e-05,1.9188751412224008e-05,3.8196695767833333
5,-20.888572375340896,-20.888572375340896,0.0,0.0,0.0,0.0,19.12882803136652,0.0,0.0,0.0,0.0,1e-07,1e-07,4.754505991183334
