split,type,scene_id,input_psnr,input_ssim,psnr,ssim,delta_psnr,delta_ssim,latency_ms,prob_low,prob_haze,prob_rain,prob_snow,degradation_exact_match,gate_mean_abs
validation,low,00059,14.274983324926119,0.27828025817871094,23.920765344163183,0.7074099779129028,9.645782019237064,0.4291297197341919,3205.9232990000055,0.46930745244026184,0.5022182464599609,0.5189270973205566,0.4826424717903137,False,0.00255584716796875
validation,low,00065,11.773002067270227,0.45135363936424255,19.600561095601776,0.6605178713798523,7.8275590283315495,0.20916423201560974,340.5015349999303,0.46611642837524414,0.5018701553344727,0.5176470875740051,0.47897055745124817,False,0.0025424957275390625
validation,low,00110,9.510742327712386,0.2916398048400879,24.200322157990705,0.671362042427063,14.68957983027832,0.3797222375869751,3137.3005450000164,0.4765339493751526,0.5090779662132263,0.5161076784133911,0.4890154302120209,False,0.002536773681640625
validation,low,00122,11.138780145664384,0.21751263737678528,18.750708692145196,0.4963342547416687,7.6119285464808115,0.2788216173648834,325.9158450000541,0.4692010283470154,0.5057637691497803,0.5124791264533997,0.48247480392456055,False,0.0025272369384765625
validation,low,00127,12.917955182261514,0.31334736943244934,17.349349405738575,0.5299332141876221,4.431394223477062,0.21658584475517273,318.7068280000176,0.4691402018070221,0.5052374005317688,0.5205572247505188,0.4851575493812561,False,0.00254058837890625
validation,haze,00059,14.415828116982084,0.8187342286109924,21.334284378729297,0.9046845436096191,6.918456261747213,0.08595031499862671,317.1273839999458,0.4716491401195526,0.5074114203453064,0.5156351327896118,0.4717099070549011,False,0.0025539398193359375
validation,haze,00065,16.106239844260696,0.7731043100357056,21.614466871342273,0.8660440444946289,5.508227027081578,0.09293973445892334,321.57817400002386,0.4579244554042816,0.5015554428100586,0.5169307589530945,0.4687601923942566,False,0.002521514892578125
validation,haze,00110,16.55536287913816,0.8926758766174316,22.798720209780182,0.9245135188102722,6.243357330642024,0.031837642192840576,318.38856599995324,0.4634442627429962,0.49422863125801086,0.5174489617347717,0.4701283872127533,False,0.00254058837890625
validation,haze,00122,13.874291508463823,0.7511030435562134,18.765180196297656,0.8141997456550598,4.890888687833833,0.06309670209884644,320.4131840000173,0.46138080954551697,0.4957619905471802,0.520237386226654,0.4715273976325989,False,0.002498626708984375
validation,haze,00127,12.25019825532357,0.5964904427528381,20.033722582806327,0.8109155893325806,7.783524327482757,0.21442514657974243,322.0685030000823,0.45531970262527466,0.507735550403595,0.5165802240371704,0.466146856546402,False,0.00251007080078125
validation,rain,00059,31.439517197140642,0.91169673204422,28.36573508610376,0.9290633201599121,-3.0737821110368806,0.01736658811569214,321.1759920000077,0.4524451792240143,0.4900906980037689,0.5275903344154358,0.46918582916259766,True,0.002483367919921875
validation,rain,00065,23.826359999308323,0.8363314270973206,25.912636708415295,0.8389852643013,2.086276709106972,0.002653837203979492,324.1480289999572,0.4565006196498871,0.49279072880744934,0.5224458575248718,0.4699307680130005,True,0.0025157928466796875
validation,rain,00110,16.41426590996138,0.6615542769432068,21.807506931573293,0.6092548966407776,5.393241021611914,-0.0522993803024292,321.079941999983,0.45916709303855896,0.4953118860721588,0.5162448883056641,0.4717859923839569,True,0.0025234222412109375
validation,rain,00122,19.5931394624984,0.7135766744613647,23.9924615810031,0.7581784725189209,4.399322118504699,0.04460179805755615,320.7815499999924,0.4587124288082123,0.4927525818347931,0.5204201936721802,0.4686994254589081,True,0.0024967193603515625
validation,rain,00127,24.07335055141717,0.7307514548301697,25.687097466472988,0.734705924987793,1.6137469150558168,0.003954470157623291,320.5830450000349,0.4541695713996887,0.4989042580127716,0.5206486582756042,0.4681219160556793,True,0.0025005340576171875
validation,snow,00059,33.127096114559585,0.9884623289108276,27.18673176661733,0.9629224538803101,-5.940364347942253,-0.025539875030517578,321.1829020000323,0.4545629322528839,0.4931568503379822,0.5269209742546082,0.47166430950164795,False,0.002483367919921875
validation,snow,00065,24.45285218756885,0.9130646586418152,23.92962217596219,0.8920760154724121,-0.5232300116066604,-0.020988643169403076,327.77854899995873,0.45713672041893005,0.4935115575790405,0.5224305987358093,0.4716034531593323,False,0.0025157928466796875
validation,snow,00110,20.503784281110796,0.8096226453781128,24.088901896307853,0.7930256128311157,3.5851176151970563,-0.01659703254699707,321.0449340000423,0.460834801197052,0.4979877769947052,0.520206868648529,0.4754987359046936,False,0.002529144287109375
validation,snow,00122,18.65557445286879,0.7678837180137634,20.07281933438972,0.7851549386978149,1.4172448815209293,0.017271220684051514,321.3203139999905,0.4627158045768738,0.497409850358963,0.520283043384552,0.4696722626686096,False,0.002513885498046875
validation,snow,00127,26.867891928681313,0.9643093943595886,24.77669077802817,0.8969533443450928,-2.091201150653145,-0.06735605001449585,321.99057599996195,0.4563492238521576,0.4996764361858368,0.518805205821991,0.47350504994392395,False,0.0025119781494140625
validation,low_haze,00059,16.26041635161399,0.5411176085472107,19.315737481006906,0.6923860907554626,3.0553211293929152,0.15126848220825195,321.1491020000494,0.46824347972869873,0.5090703368186951,0.5174489617347717,0.4768994152545929,False,0.00255584716796875
validation,low_haze,00065,14.203398615754327,0.5415125489234924,17.535986440624583,0.6408378481864929,3.332587824870256,0.09932529926300049,321.63384800003314,0.46050122380256653,0.5064388513565063,0.5138819217681885,0.4700523614883423,False,0.0025272369384765625
validation,low_haze,00110,15.58930308414716,0.5698410272598267,22.348198799549365,0.6522718071937561,6.758895715402206,0.08243077993392944,322.46196200003396,0.46511414647102356,0.5013818740844727,0.5156503915786743,0.4728812575340271,False,0.002536773681640625
