epoch,train_total,train_restoration,train_degradation,train_content,train_decorrelation,train_gate,val_psnr,val_bce,val_degradation_micro_f1,val_degradation_exact_match,val_gate_mean_abs,backbone_lr,adapter_lr,minutes
1,-16.975711027058686,-16.975711027058686,0.6951383785767988,0.0,0.008107302194506132,0.0015255714004689996,16.886076008189807,0.6954047690738331,0.4365482233502538,0.10909090909090909,0.002241238680752841,0.000180911248587776,0.000180911248587776,1.4367183918000004
2,-18.426450956951488,-18.426450956951488,0.6950778703797947,0.0,0.011672966431579055,0.0027980024164373225,18.44251164523038,0.6968231862241572,0.2564102564102564,0.09090909090909091,0.003321352871981534,0.000130936248587776,0.000130936248587776,2.729581031599999
3,-19.87560399012132,-19.87560399012132,0.6962916711514646,0.0,0.011294528397521927,0.0037946571003306994,18.891818618774415,0.6951948859474876,0.2962962962962963,0.09090909090909091,0.005386075106534091,6.9163751412224e-05,6.9163751412224e-05,4.008689537233335
4,-20.317949223518372,-20.317949223518372,0.6960922086780722,0.0,0.010531598780145967,0.0050056544217196375,19.506198622963645,0.6949356404217807,0.2981366459627329,0.09090909090909091,0.004606975208629262,1.9188751412224008e-05,1.9188751412224008e-05,5.304629150349999
5,-21.08501166755503,-21.08501166755503,0.6960600378838453,0.0,0.009761276202378448,0.005194850401444869,19.772881559892134,0.6946340951052579,0.294478527607362,0.09090909090909091,0.005757175792347301,1e-07,1e-07,6.604474428883333
