preset,type,scene_id,psnr,ssim,latency_ms
gopro64,haze_snow,00018,14.27909097918854,0.7475077509880066,905.2500430000237
gopro64,low_haze_rain,00002,nan,nan,880.9828119999565
gopro64,low_haze_rain,00008,nan,nan,863.7683409999681
gopro64,low_haze_rain,00010,nan,nan,871.8139750001228
gopro64,low_haze_rain,00013,nan,nan,871.792977000041
gopro64,low_haze_rain,00018,nan,nan,872.4071839999397
gopro64,low_haze_snow,00002,nan,nan,875.6766470000912
gopro64,low_haze_snow,00008,nan,nan,863.5443250000208
gopro64,low_haze_snow,00010,nan,nan,882.5186610001765
gopro64,low_haze_snow,00013,nan,nan,857.8560329999618
gopro64,low_haze_snow,00018,nan,nan,859.765459000073
sidd32,low,00002,13.617456151881282,0.6535780429840088,862.3526789999687
sidd32,low,00008,13.169684351863932,0.43871429562568665,833.872471000177
sidd32,low,00010,10.834405812903965,0.4492761492729187,837.0446920000632
sidd32,low,00013,15.17563907431072,0.5262213945388794,832.483615000001
sidd32,low,00018,9.908080981357262,0.4001487195491791,872.6975279998896
sidd32,haze,00002,14.818630433798958,0.6935147643089294,831.2678800000413
sidd32,haze,00008,13.002533930506866,0.4963811933994293,826.831926000068
sidd32,haze,00010,16.50429938139461,0.6633913516998291,829.2214529999455
sidd32,haze,00013,14.964966755589357,0.6597573161125183,816.2246410001899
sidd32,haze,00018,15.408688735872158,0.5951917171478271,826.1174389999724
sidd32,rain,00002,18.230921155247557,0.7387977242469788,824.4093260000227
sidd32,rain,00008,17.553162738923714,0.685431718826294,823.6015359998419
sidd32,rain,00010,19.762293728015354,0.8051108121871948,826.090977999911
sidd32,rain,00013,23.751726543626653,0.8158292770385742,805.7596520000061
sidd32,rain,00018,22.06343406005457,0.8146846294403076,815.791721000096
sidd32,snow,00002,22.321156770166017,0.8392912745475769,828.45149700006
sidd32,snow,00008,20.04355492829086,0.696799635887146,816.9575539998277
sidd32,snow,00010,23.505658978450175,0.8340852856636047,818.9391670000532
sidd32,snow,00013,19.18875756949516,0.7507120370864868,824.1467729999385
sidd32,snow,00018,18.284120432799877,0.7199844121932983,831.3947619999453
sidd32,low_haze,00002,14.314035575689507,0.6185619235038757,828.9959799999451
sidd32,low_haze,00008,11.630490521667278,0.3519735336303711,846.1663670000235
sidd32,low_haze,00010,14.07085082819991,0.46523165702819824,815.8179970000674
sidd32,low_haze,00013,13.866223045441693,0.5243189334869385,825.114289999874
sidd32,low_haze,00018,13.898645986523764,0.40385645627975464,833.4498510000685
sidd32,low_rain,00002,14.744393147248967,0.5882105827331543,827.957324999943
sidd32,low_rain,00008,13.791620962020772,0.4448294937610626,830.091437999954
sidd32,low_rain,00010,17.578683025293294,0.5254006385803223,827.6911430000382
sidd32,low_rain,00013,16.60306035329837,0.4048196077346802,816.976724999904
sidd32,low_rain,00018,13.462554069592041,0.5220829248428345,842.6006110000799
sidd32,low_snow,00002,15.637059546609859,0.5448817610740662,827.7697950002221
sidd32,low_snow,00008,10.649279818776268,0.3224184811115265,834.533416000113
sidd32,low_snow,00010,10.564372188443137,0.39368659257888794,824.8348219999571
sidd32,low_snow,00013,14.197221404737931,0.44250354170799255,822.0810650000203
sidd32,low_snow,00018,13.37228169581194,0.5363770127296448,828.0685970000832
sidd32,haze_rain,00002,13.917374294178153,0.5950387716293335,822.5697489999675
sidd32,haze_rain,00008,13.11340489056158,0.48800185322761536,822.7614779998476
sidd32,haze_rain,00010,12.937503088187444,0.6048867106437683,872.8043920000346
sidd32,haze_rain,00013,12.688241260687805,0.6021691560745239,815.5758339999011
sidd32,haze_rain,00018,15.277365486226769,0.5838446021080017,845.7413780001843
sidd32,haze_snow,00002,13.084784088293073,0.5478945970535278,822.346146999962
