split,type,scene_id,input_psnr,input_ssim,psnr,ssim,delta_psnr,delta_ssim,latency_ms,prob_low,prob_haze,prob_rain,prob_snow,degradation_exact_match,gate_mean_abs
validation,low,00059,14.274983324926119,0.27828025817871094,24.0430808494642,0.7080828547477722,9.768097524538081,0.4298025965690613,3170.8169159999215,0.46262475848197937,0.49463289976119995,0.5188204646110535,0.47233355045318604,False,0.0056304931640625
validation,low,00065,11.773002067270227,0.45135363936424255,19.6147218120946,0.6683939695358276,7.841719744824374,0.21704033017158508,324.6732409998003,0.456288605928421,0.4974956810474396,0.517433762550354,0.47122326493263245,False,0.00786590576171875
validation,low,00110,9.510742327712386,0.2916398048400879,24.62151162029729,0.6632817983627319,15.110769292584905,0.37164199352264404,3137.4295470000106,0.4632924795150757,0.5062748789787292,0.5195060968399048,0.479579895734787,False,0.0175323486328125
validation,low,00122,11.138780145664384,0.21751263737678528,18.722010203653866,0.4838745594024658,7.583230057989482,0.26636192202568054,324.5395559999906,0.45202186703681946,0.4913567900657654,0.5193689465522766,0.47212061285972595,False,0.012481689453125
validation,low,00127,12.917955182261514,0.31334736943244934,18.270547197522454,0.547208309173584,5.3525920152609405,0.23386093974113464,329.2231370000991,0.4533828794956207,0.4945070445537567,0.5232071876525879,0.4760468006134033,False,0.0102386474609375
validation,haze,00059,14.415828116982084,0.8187342286109924,21.062083032564217,0.9266760945320129,6.6462549155821335,0.10794186592102051,320.3608860001168,0.4707062244415283,0.5077241063117981,0.5137370824813843,0.47965601086616516,False,0.0083160400390625
validation,haze,00065,16.106239844260696,0.7731043100357056,21.37664849762735,0.861453652381897,5.270408653366655,0.0883493423461914,327.7343629999905,0.4480639696121216,0.4911050796508789,0.5146137475967407,0.4594399034976959,False,0.005329132080078125
validation,haze,00110,16.55536287913816,0.8926758766174316,22.160766161991337,0.9306867718696594,5.605403282853178,0.03801089525222778,323.640370000021,0.4611078202724457,0.4927869141101837,0.5102753043174744,0.46411213278770447,False,0.004650115966796875
validation,haze,00122,13.874291508463823,0.7511030435562134,18.687430969402378,0.8137190937995911,4.8131394609385545,0.06261605024337769,324.0068190000329,0.4626854658126831,0.49027377367019653,0.5187137722969055,0.4695962369441986,False,0.0034732818603515625
validation,haze,00127,12.25019825532357,0.5964904427528381,20.003971768599712,0.8166698813438416,7.753773513276142,0.22017943859100342,323.22423799996614,0.45177996158599854,0.4928402900695801,0.5126544833183289,0.4625033736228943,False,0.003566741943359375
validation,rain,00059,31.439517197140642,0.91169673204422,29.24133157662694,0.9295124411582947,-2.1981856205137014,0.017815709114074707,321.9721699999809,0.4541695713996887,0.4857978820800781,0.5321515798568726,0.4688970148563385,True,0.0030517578125
validation,rain,00065,23.826359999308323,0.8363314270973206,25.58138631691158,0.836452305316925,1.7550263176032566,0.00012087821960449219,332.4594119999347,0.45619773864746094,0.4900297224521637,0.5227047204971313,0.4692161977291107,True,0.0031585693359375
validation,rain,00110,16.41426590996138,0.6615542769432068,21.287391537224487,0.6320013403892517,4.873125627263107,-0.029552936553955078,323.780725000006,0.4609864354133606,0.4946824908256531,0.5154598355293274,0.46860820055007935,True,0.0029392242431640625
validation,rain,00122,19.5931394624984,0.7135766744613647,24.475621552833932,0.7555058002471924,4.882482090335532,0.04192912578582764,326.1065920000874,0.46128976345062256,0.4855158030986786,0.5236182808876038,0.47300300002098083,True,0.0032291412353515625
validation,rain,00127,24.07335055141717,0.7307514548301697,25.600695483059432,0.7390800714492798,1.5273449316422614,0.008328616619110107,324.1109680000136,0.4539274275302887,0.49243220686912537,0.5228874683380127,0.47136014699935913,True,0.003383636474609375
validation,snow,00059,33.127096114559585,0.9884623289108276,27.7845208640908,0.9652007222175598,-5.342575250468784,-0.023261606693267822,326.52471699998387,0.45486560463905334,0.4857063889503479,0.5325466394424438,0.4708278477191925,False,0.003173828125
validation,snow,00065,24.45285218756885,0.9130646586418152,23.975655613515165,0.893120288848877,-0.47719657405368565,-0.019944369792938232,325.2621229999022,0.45550137758255005,0.49089911580085754,0.5225372314453125,0.4698547422885895,False,0.00341033935546875
validation,snow,00110,20.503784281110796,0.8096226453781128,24.05978614495507,0.7911171913146973,3.5560018638442727,-0.018505454063415527,325.41110500005743,0.4591064751148224,0.4954415261745453,0.5133482813835144,0.4660557210445404,False,0.0039825439453125
validation,snow,00122,18.65557445286879,0.7678837180137634,19.924096184007055,0.7883737683296204,1.2685217311382644,0.020490050315856934,325.87142700003824,0.46177518367767334,0.49268776178359985,0.521349310874939,0.4708886444568634,False,0.004131317138671875
validation,snow,00127,26.867891928681313,0.9643093943595886,24.522920299799242,0.8864135146141052,-2.344971628882071,-0.0778958797454834,325.1056320000316,0.45350387692451477,0.49501052498817444,0.5204201936721802,0.4735507071018219,False,0.0041656494140625
validation,low_haze,00059,16.26041635161399,0.5411176085472107,19.144733521925016,0.7154214382171631,2.884317170311025,0.1743038296699524,325.539284000115,0.46019795536994934,0.4935535490512848,0.5170984268188477,0.46556970477104187,False,0.0038318634033203125
validation,low_haze,00065,14.203398615754327,0.5415125489234924,17.54856108725846,0.6443725824356079,3.345162471504132,0.10286003351211548,328.5773810000592,0.4487282335758209,0.4936564862728119,0.5141182541847229,0.4612594246864319,False,0.007205963134765625
validation,low_haze,00110,15.58930308414716,0.5698410272598267,22.83972387765691,0.6674352884292603,7.250420793509749,0.0975942611694336,330.0985789999231,0.460683137178421,0.49201270937919617,0.5204505920410156,0.4717707633972168,False,0.007266998291015625
validation,low_haze,00122,11.0372215869337,0.30676335096359253,11.124584697414395,0.38023677468299866,0.08736311048069467,0.07347342371940613,347.58953099981227,0.4587124288082123,0.4918982684612274,0.5124257206916809,0.4700371325016022,False,0.00528717041015625
validation,low_haze,00127,14.405570584694674,0.558728039264679,16.070004895882157,0.6426368951797485,1.6644343111874829,0.08390885591506958,325.99272900006326,0.45063135027885437,0.49522414803504944,0.5205420255661011,0.4638389050960541,False,0.0038242340087890625
validation,low_rain,00059,16.108003821864443,0.410472571849823,22.731742213264027,0.6410650610923767,6.623738391399584,0.2305924892425537,326.375520000056,0.4569246768951416,0.4934734106063843,0.5237096548080444,0.4688514173030853,False,0.006290435791015625
validation,low_rain,00065,13.514641597111956,0.5086477994918823,19.488029890423682,0.6603214144706726,5.973388293311727,0.15167361497879028,328.23566900015066,0.45350387692451477,0.49472829699516296,0.5204049348831177,0.468030720949173,False,0.007251739501953125
validation,low_rain,00110,12.876486579090631,0.20348456501960754,20.37755971678051,0.3822121024131775,7.501073137689879,0.17872753739356995,330.41285299987067,0.45568299293518066,0.49697116017341614,0.5144231915473938,0.4634442627429962,False,0.00870513916015625
validation,low_rain,00122,12.052902317279763,0.29233354330062866,18.37218367714763,0.49012526869773865,6.319281359867865,0.19779172539710999,334.966273000191,0.45783355832099915,0.4981965720653534,0.5217757821083069,0.4777368903160095,False,0.0129547119140625
validation,low_rain,00127,15.769001916863033,0.498128205537796,16.809949245912122,0.4840332269668579,1.0409473290490894,-0.01409497857093811,328.1754039999214,0.4495134651660919,0.49206608533859253,0.5319085121154785,0.4744485318660736,False,0.005809783935546875
validation,low_snow,00059,15.322570356590926,0.24192498624324799,17.125169450227098,0.5863620638847351,1.8025990936361715,0.3444370776414871,326.86617200010915,0.46128976345062256,0.4953576326370239,0.5178756713867188,0.4698851704597473,False,0.00662994384765625
validation,low_snow,00065,15.307405427480202,0.44828835129737854,16.204244369036765,0.6036995053291321,0.8968389415565632,0.15541115403175354,331.6115989998707,0.45674291253089905,0.49591073393821716,0.515063464641571,0.46996113657951355,False,0.006290435791015625
validation,low_snow,00110,11.77030553064905,0.353939414024353,23.65611680807808,0.6031295657157898,11.885811277429031,0.24919015169143677,332.7821540001423,0.4585305452346802,0.5001043081283569,0.5173879861831665,0.47242483496665955,False,0.01316070556640625
validation,low_snow,00122,12.790129328095453,0.21848569810390472,13.824033265056968,0.2904568910598755,1.033903936961515,0.07197119295597076,328.2035980000728,0.45756086707115173,0.5061908960342407,0.5159095525741577,0.4793970286846161,False,0.008087158203125
validation,low_snow,00127,13.111748464319792,0.45921576023101807,17.741697637986956,0.6825925707817078,4.629949173667164,0.2233768105506897,326.7176950000703,0.4569246768951416,0.5001895427703857,0.5233290195465088,0.4780872166156769,False,0.0081329345703125
validation,haze_rain,00059,16.375845138858537,0.7686006426811218,21.853460599365626,0.8654837608337402,5.477615460507089,0.09688311815261841,329.6244339999248,0.460834801197052,0.4885503053665161,0.5165802240371704,0.46450677514076233,False,0.003963470458984375
validation,haze_rain,00065,11.44974795164892,0.6429965496063232,18.048413014292457,0.7764944434165955,6.598665062643537,0.13349789381027222,329.39499799999794,0.4525056779384613,0.49214237928390503,0.5144460797309875,0.4588336646556854,False,0.0037555694580078125
validation,haze_rain,00110,18.649038529758663,0.7885671854019165,23.557757989491538,0.7552002668380737,4.908719459732875,-0.03336691856384277,330.301585999905,0.454018235206604,0.4922453463077545,0.5112209320068359,0.46386927366256714,False,0.0042877197265625
validation,haze_rain,00122,10.634523546375124,0.6135637164115906,14.336571122504445,0.6910792589187622,3.7020475761293206,0.07751554250717163,326.177160999805,0.45662179589271545,0.4840294420719147,0.5214558839797974,0.4684866666793823,False,0.0030574798583984375
validation,haze_rain,00127,9.900834888273366,0.5450974106788635,17.189763493828004,0.6786493062973022,7.288928605554638,0.13355189561843872,328.9106059999085,0.45438137650489807,0.4951326251029968,0.511076033115387,0.46535709500312805,False,0.0033588409423828125
validation,haze_snow,00059,13.736240175019708,0.7912216186523438,20.442810163071915,0.9007778763771057,6.706569988052207,0.10955625772476196,334.4229249998989,0.47029563784599304,0.5070948600769043,0.5130966305732727,0.4787573516368866,False,0.0081939697265625
validation,haze_snow,00065,12.329676678215547,0.6861189007759094,18.661271116484013,0.7979090213775635,6.331594438268466,0.11179012060165405,326.2986719998935,0.4524754583835602,0.4921804964542389,0.5146366357803345,0.45977339148521423,False,0.0038509368896484375
